field1,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,SeriousDlqin2yrs,MonthlyPerPerson,isOld,Probability,My Prediction
250,0.08131073700000001,81,0,0.165566887,3333,4,0,0,0,0,0,3333.0,1,0.00278,0
255,0.112321289,53,0,0.266909775,8500,9,0,1,0,5,0,1416.666666666667,0,0.00905,0
257,0.6343270560000001,49,1,0.123125125,15000,7,0,0,0,1,0,7500.0,0,0.08706,0
270,0.010402205,68,0,0.094140517,3600,6,0,1,0,0,0,3600.0,0,0.00337,0
278,0.0,44,0,0.32638368100000004,6666,4,0,2,0,1,0,3333.0,0,0.01848,0
282,0.991667222,36,1,0.554878049,5411,10,0,2,0,1,0,2705.5,0,0.19741,0
283,0.6914884179999999,42,0,0.272721679,16250,11,0,1,0,1,0,8125.0,0,0.057170000000000006,0
289,0.074256375,49,0,0.347930414,5000,11,0,2,0,3,0,1250.0,0,0.01464,0
293,0.679813777,83,0,0.6895897559999999,4216,6,0,2,0,0,0,4216.0,1,0.058879999999999995,0
295,0.371875401,29,0,0.53628857,2300,9,0,1,0,3,0,575.0,0,0.039580000000000004,0
301,0.25889775,33,0,0.537441339,4900,3,0,1,0,1,0,2450.0,0,0.00695,0
302,0.0,55,1,0.03988553,5590,8,0,0,0,0,0,5590.0,0,0.02468,0
303,0.035940506000000004,46,0,0.271186441,6666,10,0,1,0,3,0,1666.5,0,0.01966,0
305,0.465238835,66,0,0.391427671,3172,8,1,1,0,0,0,3172.0,0,0.19955,0
307,0.6964116709999999,52,0,0.408871921,11000,11,0,1,0,4,0,2200.0,0,0.047889999999999995,0
312,0.016598893,30,0,0.13657561599999998,1500,5,0,0,0,0,0,1500.0,0,0.020880000000000003,0
314,0.093638481,49,0,0.042836573,8333,10,0,0,0,1,0,4166.5,0,0.01346,0
315,0.0,37,0,0.184027338,7900,5,0,1,0,5,0,1316.6666666666667,0,0.01431,0
318,0.948978489,57,0,0.043744532,8000,3,0,0,0,1,0,4000.0,0,0.043680000000000004,0
329,0.284236153,45,1,0.318890815,7500,9,0,1,0,2,0,2500.0,0,0.0685,0
331,0.6877790970000001,62,0,0.249471161,7090,15,0,0,0,0,0,7090.0,0,0.06444,0
335,0.03719769,47,0,0.03975841,25000,11,0,1,0,3,1,6250.0,0,0.00988,0
348,0.049529205,61,0,542.0,0,15,0,0,0,0,0,0.0,0,0.008709999999999999,0
352,0.0,58,0,8380.0,0,20,0,5,0,0,0,0.0,0,0.05242,0
353,0.507972665,69,2,0.193935355,3000,10,2,0,2,0,0,3000.0,0,0.49304,0
361,0.143427862,67,0,0.119463561,5666,9,0,0,0,0,0,5666.0,0,0.02029,0
363,0.496388581,56,0,0.170164956,19580,12,0,1,0,1,0,9790.0,0,0.01956,0
375,0.292541492,74,0,0.164917541,2000,3,0,0,0,0,0,2000.0,0,0.01,0
382,0.9999999,22,0,130.0,0,0,0,0,0,0,0,0.0,0,0.07045,0
384,0.903231566,57,0,0.13080895,5228,10,0,0,0,0,0,5228.0,0,0.07316,0
396,0.000685675,83,0,0.0,0,4,0,0,0,0,0,0.0,1,0.00449,0
401,0.134191514,63,0,926.5,1,9,0,1,0,0,0,1.0,0,0.00898,0
404,0.203947961,46,1,1.206516118,5800,12,1,4,0,2,0,1933.333333333333,0,0.16902,0
408,0.368866624,55,0,0.437996083,9700,18,0,2,0,0,0,9700.0,0,0.02537,0
413,0.0,59,0,2113.0,0,13,0,2,0,0,0,0.0,0,0.009729999999999999,0
437,0.006999563,97,0,3.0,0,2,0,0,0,0,0,0.0,1,0.00186,0
443,0.922670104,40,0,0.207789429,9345,7,0,0,0,0,0,9345.0,0,0.059829999999999994,0
446,0.008737352,68,0,0.209965006,6000,28,0,1,0,0,0,6000.0,0,0.01229,0
447,0.0,57,0,0.785229953,6783,8,0,3,0,0,0,6783.0,0,0.014430000000000002,0
455,0.069987933,33,0,0.114004783,3762,7,0,0,0,0,0,3762.0,0,0.0216,0
457,0.7406351609999999,39,0,0.432010059,5566,7,0,1,0,0,0,5566.0,0,0.053520000000000005,0
458,0.023382944,84,0,0.00912845,4600,6,0,0,0,0,0,4600.0,1,0.00402,0
469,0.9999999,32,0,0.006731051,3416,1,0,0,0,3,1,854.0,0,0.13472,0
480,0.540204354,34,0,0.034395414,7500,3,1,0,0,0,0,7500.0,0,0.25778,0
484,0.045017363,72,0,0.020763907,3900,8,0,0,0,0,0,3900.0,0,0.004229999999999999,0
489,0.047587303,34,0,997.0,0,4,0,0,0,0,0,0.0,0,0.01635,0
499,0.001124859,28,1,0.057990335,6000,8,1,0,0,0,0,6000.0,0,0.16902,0
502,0.090641506,69,0,0.016683266999999998,4015,2,0,0,0,0,0,4015.0,0,0.00134,0
507,0.290320472,48,0,0.262848568,7996,7,0,1,0,3,0,1999.0,0,0.0055899999999999995,0
512,0.091201293,49,1,0.568886223,5000,15,0,2,0,0,0,5000.0,0,0.04672,0
517,0.065630892,31,0,0.162635688,5250,10,0,0,0,0,0,5250.0,0,0.020880000000000003,0
531,0.0,82,0,0.0,0,3,0,0,0,0,0,0.0,1,0.00449,0
536,0.749602291,62,0,7963.0,0,7,0,2,0,3,0,0.0,0,0.02008,0
556,0.408215982,39,0,677.0,0,4,0,0,0,2,0,0.0,0,0.02248,0
559,0.004552998,34,0,3.0,0,2,0,0,0,0,0,0.0,0,0.0225,0
562,0.162077194,38,0,0.024885359,70000,6,0,1,0,2,0,23333.33333333333,0,0.00912,0
563,0.57073821,39,0,1314.0,0,5,2,2,0,0,0,0.0,0,0.49318999999999996,0
566,0.0,75,0,0.5274314210000001,801,4,0,1,0,0,0,801.0,0,0.0056700000000000006,0
569,0.584844623,60,0,0.293637575,6003,11,0,1,0,0,0,6003.0,0,0.04409,0
581,0.30248201,46,0,0.34805720799999995,7900,12,0,1,0,2,0,2633.333333333333,0,0.029710000000000004,0
594,0.181579946,54,0,0.3539428,6048,9,0,1,0,1,0,3024.0,0,0.015030000000000002,0
596,0.048911121,63,0,0.102800764,6283,4,0,0,0,1,0,3141.5,0,0.00425,0
602,0.269257489,44,0,0.607594937,1500,7,0,0,0,3,0,375.0,0,0.02773,0
609,0.095634788,36,0,0.17526690399999995,2247,4,0,0,0,1,0,1123.5,0,0.02213,0
610,0.124801376,62,0,0.5668944570000001,6584,15,0,2,0,0,0,6584.0,0,0.01103,0
614,0.184476515,32,0,0.444956049,7166,11,0,2,0,0,0,7166.0,0,0.02733,0
628,0.346960384,41,0,1.432686655,1700,13,0,3,0,2,0,566.6666666666666,0,0.06207000000000001,0
629,0.024305835,30,0,1581.0,0,6,0,1,0,0,0,0.0,0,0.014530000000000001,0
630,0.9999999,40,0,2866.0,0,2,0,2,0,0,0,0.0,0,0.0505,0
631,0.0,56,0,0.0,6200,2,0,0,0,0,0,6200.0,0,0.01045,0
635,0.057887851,56,0,0.238127698,4400,13,0,1,0,1,0,2200.0,0,0.01299,0
643,0.402345742,37,0,0.337622356,12667,16,0,2,0,3,1,3166.75,0,0.04162,0
653,0.0,49,0,0.62273579,1600,10,0,1,0,1,0,800.0,0,0.01725,0
655,0.149314411,36,0,0.5583203729999999,4500,9,0,3,0,0,1,4500.0,0,0.04074,0
671,0.914867126,40,0,0.517037339,4900,7,0,1,0,1,0,2450.0,0,0.08769,0
689,0.091106715,63,0,0.035418452,3500,5,0,0,0,0,0,3500.0,0,0.007540000000000001,0
698,2066.0,58,0,0.27112148,6000,8,1,1,0,1,1,3000.0,0,0.47853,0
701,0.003938695,75,0,0.199949219,7876,11,0,2,0,0,0,7876.0,0,0.00432,0
703,0.160899231,33,0,0.182363527,3333,13,0,0,0,0,0,3333.0,0,0.037469999999999996,0
704,0.25250536100000004,52,0,0.442592901,6000,13,0,1,0,2,0,2000.0,0,0.03461,0
723,0.476535633,33,0,0.312937413,5000,4,0,1,0,0,0,5000.0,0,0.02465,0
725,0.116188171,33,0,0.043739065,4000,9,0,0,0,0,0,4000.0,0,0.02539,0
730,0.029185402000000006,41,0,0.336295473,3600,5,0,1,0,0,0,3600.0,0,0.02174,0
731,0.985092264,48,0,0.376905611,3082,4,0,1,0,0,0,3082.0,0,0.06254,0
741,0.061214562,35,0,0.453692681,21000,7,0,2,0,0,0,21000.0,0,0.01275,0
749,0.0,57,0,0.335066493,10000,11,0,2,0,3,0,2500.0,0,0.02277,0
754,0.471803323,60,0,0.365787835,9633,12,0,1,0,1,0,4816.5,0,0.02217,0
759,0.025711593,55,0,0.540702656,3500,8,0,1,0,2,0,1166.6666666666667,0,0.014219999999999998,0
761,0.02331266,58,0,0.632371083,4052,13,1,2,0,0,1,4052.0,0,0.16902,0
769,0.0,32,0,0.44187375,3500,5,0,1,0,2,1,1166.6666666666667,0,0.02278,0
770,0.07237774400000001,48,0,0.399050079,12000,9,0,2,0,0,0,12000.0,0,0.0111,0
772,0.0,58,0,526.0,0,5,0,1,0,1,0,0.0,0,0.00733,0
784,0.004680652,29,0,0.057388522,5000,4,0,0,0,0,0,5000.0,0,0.0176,0
786,0.982477859,36,0,0.508163945,3000,3,0,1,0,0,0,3000.0,0,0.05697000000000001,0
788,0.01087466,82,0,0.001287001,7769,6,0,0,0,0,0,7769.0,1,0.00402,0
792,0.994428754,42,0,2336.0,0,11,0,2,0,3,0,0.0,0,0.13438,0
795,0.031593681,33,0,523.0,0,3,0,0,0,0,0,0.0,0,0.02068,0
801,0.962946947,50,0,0.68127587,4106,8,0,1,1,0,1,4106.0,0,0.25751,0
803,0.0,45,0,0.7358164540000001,10416,11,0,4,0,1,0,5208.0,0,0.030910000000000003,0
805,0.134374585,63,0,111.0,0,2,0,0,0,0,0,0.0,0,0.00337,0
811,0.9999999,24,0,0.0,3833,1,0,0,0,0,0,3833.0,0,0.07591,0
812,0.682708972,41,4,0.38708711,13350,8,0,4,0,1,0,6675.0,0,0.27444,0
814,0.013105862,76,0,736.0,0,15,0,1,0,0,0,0.0,0,0.00856,0
815,0.0,87,0,2.0,0,2,0,0,0,0,0,0.0,1,0.00255,0
817,0.0,46,0,0.107878122,3642,11,0,0,0,4,0,728.4,0,0.02125,0
825,0.715720439,33,0,1.002499107,2800,8,0,2,0,0,0,2800.0,0,0.07502,0
829,0.0,31,0,0.432783608,2000,9,0,1,0,0,0,2000.0,0,0.02309,0
831,0.524915836,32,0,969.0,0,6,0,0,0,0,0,0.0,0,0.04256,0
832,0.335445712,40,0,0.344679838,4200,6,0,2,1,0,0,4200.0,0,0.14237,0
834,0.235225157,37,0,0.335036659,4500,5,0,1,0,1,0,2250.0,0,0.0068,0
835,0.0,63,0,779.0,0,6,0,1,0,0,0,0.0,0,0.0054399999999999995,0
836,0.0,28,0,852.0,0,3,0,0,0,0,0,0.0,0,0.027569999999999997,0
837,0.001901275,69,0,0.0,5455,6,0,0,0,0,0,5455.0,0,0.0048,0
848,0.0,44,0,6046.0,0,9,0,3,0,0,1,0.0,0,0.02696,0
852,0.047294357,57,0,0.447142596,5476,14,0,1,0,0,0,5476.0,0,0.018359999999999998,0
861,0.457154579,50,0,0.103425118,13400,7,0,0,0,2,0,4466.666666666667,0,0.01547,0
866,0.128419662,59,0,0.226433961,11000,10,0,1,0,0,0,11000.0,0,0.01329,0
870,0.086492476,64,0,0.074734316,5833,8,0,1,0,1,0,2916.5,0,0.00745,0
874,0.093741762,41,2,0.7181719259999999,3675,10,0,3,0,2,0,1225.0,0,0.10355999999999999,0
877,0.041411471,45,0,0.008456176,8750,3,0,0,0,3,0,2187.5,0,0.00867,0
881,0.9999999,26,0,0.137820513,1871,1,0,0,0,0,0,1871.0,0,0.07936,0
883,0.606025418,39,3,0.375647341,7916,10,0,2,0,2,0,2638.6666666666665,0,0.21836999999999998,0
891,0.194625748,31,1,0.283571758,4333,20,0,0,0,0,0,4333.0,0,0.056429999999999994,0
898,0.122544324,57,0,0.42893401,4333,9,0,1,0,1,0,2166.5,0,0.01737,0
899,0.667833042,60,0,81.0,0,2,0,0,0,0,0,0.0,0,0.03348,0
902,0.013767118,64,0,2004.0,0,10,0,2,0,0,0,0.0,0,0.00503,0
907,0.020480494,35,0,1673.0,0,10,0,1,0,1,0,0.0,0,0.01906,0
909,0.518186405,73,0,0.5048870910000001,8900,17,0,1,0,1,0,4450.0,0,0.0346,0
914,0.9999999,36,0,0.194963754,2620,3,0,0,0,0,0,2620.0,0,0.11646,0
919,0.004884836,34,0,0.474904943,5259,11,0,2,0,2,0,1753.0,0,0.03505,0
925,0.0427599,52,0,7806.0,0,21,0,2,0,2,0,0.0,0,0.027260000000000003,0
926,0.222506167,59,0,0.271467415,11400,9,0,2,0,0,0,11400.0,0,0.01077,0
928,0.028775625,44,0,0.137224283,5122,4,0,0,0,0,0,5122.0,0,0.01828,0
930,0.018538176,74,0,1184.0,0,8,0,1,0,0,0,0.0,0,0.00293,0
936,0.5262016620000001,54,4,0.343546258,25000,9,0,3,0,1,0,12500.0,0,0.19219,0
942,0.15364667699999998,34,0,1.220066377,3916,7,0,2,0,0,0,3916.0,0,0.01977,0
947,0.0,35,0,0.0,1500,3,0,0,0,0,0,1500.0,0,0.021519999999999997,0
951,0.03452873,55,0,0.514162132,7166,7,0,2,0,1,0,3583.0,0,0.010190000000000001,0
961,0.8335941579999999,44,0,178.0,0,9,0,0,0,0,0,0.0,0,0.10590999999999999,0
962,0.030327811,70,0,1934.0,0,11,0,2,0,0,0,0.0,0,0.00385,0
967,0.029878794,50,0,0.318734063,13333,11,0,3,0,1,0,6666.5,0,0.01659,0
970,0.016658432,53,0,0.31518720100000003,9000,6,0,1,0,0,0,9000.0,0,0.01066,0
975,0.9999999,55,0,0.167543201,5323,1,1,0,1,2,0,1774.333333333333,0,0.43826000000000004,0
979,0.256314605,58,3,1.511162946,3000,24,0,2,0,0,0,3000.0,0,0.12877,0
981,0.066113797,63,0,0.621679828,9750,24,0,2,0,2,0,3250.0,0,0.015519999999999999,0
983,0.041992219,32,0,85.0,0,7,0,0,0,0,0,0.0,0,0.02376,0
985,0.951209758,36,0,0.061445262,2310,2,0,0,0,2,0,770.0,0,0.10912999999999999,0
988,0.019327552,80,0,0.180763847,5000,11,0,0,0,0,0,5000.0,0,0.00375,0
999,0.040283239,54,0,0.135553584,12400,11,0,1,0,0,0,12400.0,0,0.01025,0
1001,0.6669486960000001,56,0,0.185055253,5700,7,0,0,0,0,0,5700.0,0,0.036289999999999996,0
1002,0.181442474,32,0,0.067877957,8750,2,0,0,0,0,0,8750.0,0,0.00586,0
1027,0.224507069,58,0,1068.0,0,8,0,1,0,0,0,0.0,0,0.00491,0
1033,0.135083219,58,0,0.06513930700000001,10300,7,0,0,0,2,0,3433.333333333333,0,0.01514,0
1036,0.038660566,71,0,0.308086489,8000,7,0,1,0,0,0,8000.0,0,0.0047799999999999995,0
1039,0.9999999,27,0,0.153061224,2253,3,0,0,0,0,0,2253.0,0,0.10880999999999999,0
1049,0.50009998,34,0,0.211071821,8200,3,0,1,0,0,0,8200.0,0,0.02295,0
1056,0.520689428,68,3,0.7773704379999999,6000,9,0,3,0,0,0,6000.0,0,0.16602999999999998,0
1078,0.148225606,63,0,1313.0,0,11,0,2,0,0,0,0.0,0,0.00744,0
1079,0.68028326,80,0,0.42985336,4568,6,0,1,0,0,0,4568.0,0,0.07016,0
1082,0.012987013,22,0,0.0,0,2,0,0,0,0,0,0.0,0,0.02802,0
1087,0.8663444709999999,34,0,0.14802475,2100,1,0,0,0,0,0,2100.0,0,0.10368,0
1088,0.0,87,0,0.067381539,6900,4,0,0,0,1,0,3450.0,1,0.00511,0
1092,0.9999999,41,0,219.0,0,1,2,0,1,0,1,0.0,0,0.45275,0
1093,0.275326535,66,1,0.38317757,5884,17,0,1,0,0,0,5884.0,0,0.057710000000000004,0
1099,0.077246781,32,0,0.368421053,4084,7,0,1,0,0,0,4084.0,0,0.02108,0
1100,0.328303003,59,1,0.480057771,9000,9,0,2,0,0,0,9000.0,0,0.0568,0
1102,0.966275454,37,0,0.683523654,4290,8,0,1,0,2,0,1430.0,0,0.11175,0
1107,0.123471362,63,0,0.364188164,2635,6,0,1,0,1,0,1317.5,0,0.00944,0
1112,0.48092721,62,0,1.031724668,5200,14,0,3,0,1,0,2600.0,0,0.04765,0
1122,0.125014705,66,2,0.404638145,2500,4,0,1,0,0,0,2500.0,0,0.12614,0
1130,0.0199992,52,0,0.188452887,4000,6,0,1,0,1,0,2000.0,0,0.01547,0
1132,0.612030682,74,2,0.76967187,3138,10,1,2,0,0,0,3138.0,0,0.3959,0
1135,0.0,46,0,0.4502889020000001,5018,9,0,1,0,0,0,5018.0,0,0.01851,0
1142,0.9999999,38,1,17.0,0,1,0,0,0,0,0,0.0,0,0.20863,0
1147,0.954449046,55,5,773.0,0,7,1,0,3,0,1,0.0,0,0.5441199999999999,1
1153,0.6840209509999999,50,0,0.894878706,11500,21,0,3,0,0,0,11500.0,0,0.1202,0
1156,0.0,53,0,0.460725507,3500,7,1,1,1,0,0,3500.0,0,0.35167,0
1159,0.226957563,80,0,0.4375,4079,11,0,1,0,1,0,2039.5,0,0.01162,0
1166,0.321934593,44,0,1383.0,0,7,0,2,0,1,0,0.0,0,0.01069,0
1169,0.099482078,44,0,0.431368631,5004,7,0,1,0,3,0,1251.0,0,0.02541,0
1174,0.9999999,71,1,0.313816494,2800,2,0,1,1,0,1,2800.0,0,0.3296,0
1184,0.281812558,79,1,0.304637654,10500,16,0,2,0,1,0,5250.0,0,0.06327999999999999,0
1193,0.963614554,46,0,0.224283305,3557,5,1,1,0,3,0,889.25,0,0.34743,0
1198,0.9999999,50,0,0.914857386,2348,5,0,1,0,0,0,2348.0,0,0.07222999999999999,0
1202,0.0,48,0,4212.0,0,6,0,3,0,0,0,0.0,0,0.01957,0
1211,0.0,53,0,0.0,3000,2,0,0,0,1,0,1500.0,0,0.013859999999999999,0
1216,0.00077776,74,0,0.209539523,13333,6,0,3,0,0,0,13333.0,0,0.00734,0
1217,0.51835032,73,0,0.685146095,9000,13,0,2,0,0,0,9000.0,0,0.03155,0
1220,0.142122933,54,0,2859.0,0,18,0,3,0,1,0,0.0,0,0.02076,0
1224,0.9999999,27,0,0.014697237,1700,0,0,0,0,1,0,850.0,0,0.11213,0
1230,0.507497501,68,0,0.012468828,3608,3,0,0,0,0,0,3608.0,0,0.02323,0
1232,0.9999999,60,1,0.540617473,4566,2,0,1,1,0,1,4566.0,0,0.35472,0
1244,0.007749806,60,0,0.220213749,7578,8,0,1,0,0,0,7578.0,0,0.00481,0
1250,0.9999999,65,1,0.061422414,5567,1,0,0,0,0,0,5567.0,0,0.15431,0
1264,0.414618818,70,0,4681.0,0,21,0,2,0,0,0,0.0,0,0.01179,0
1272,0.11327535,54,0,695.0,0,5,0,1,0,1,0,0.0,0,0.0088,0
1281,0.036422035,30,0,1756.0,1,10,0,2,0,0,0,1.0,0,0.02482,0
1299,0.7962785840000001,44,0,2518.0,0,6,5,1,2,4,0,0.0,0,0.65671,1
1302,0.176443529,67,0,0.182522829,9417,15,0,2,0,0,0,9417.0,0,0.014790000000000001,0
1304,0.06769731,75,0,0.082053743,2083,11,0,0,0,0,0,2083.0,0,0.00613,0
1306,0.070324183,39,0,0.35142638299999995,10445,12,0,1,0,4,0,2089.0,0,0.02196,0
1308,0.007868766,63,0,1448.0,0,6,0,1,0,0,0,0.0,0,0.00475,0
1317,0.07303712700000001,49,0,0.249922094,6417,8,0,2,0,0,0,6417.0,0,0.014519999999999998,0
1323,0.122020904,59,0,153.0,0,9,0,0,0,0,0,0.0,0,0.01204,0
1325,0.195256512,48,0,0.484398217,5383,20,0,3,0,0,0,5383.0,0,0.04969,0
1326,0.8465748809999999,45,0,0.158640227,6000,5,0,0,0,2,0,2000.0,0,0.06534,0
1330,0.0,59,0,1486.0,0,4,0,1,0,2,0,0.0,0,0.00677,0
1340,0.409985282,69,1,0.279980823,14600,15,0,2,0,0,1,14600.0,0,0.0654,0
1346,0.0,39,0,0.055915527,4166,5,0,0,0,0,0,4166.0,0,0.022359999999999998,0
1349,0.036934189,56,0,0.287934952,8362,8,0,1,0,2,0,2787.333333333333,0,0.010440000000000001,0
1354,0.0,43,0,3278.0,0,7,0,3,0,0,0,0.0,0,0.02797,0
1355,0.017509173,59,0,0.365119461,9500,8,0,2,0,0,0,9500.0,0,0.007809999999999999,0
1360,0.525349959,44,0,0.265853034,11716,8,0,2,0,1,0,5858.0,0,0.030989999999999997,0
1366,0.0,46,0,0.014388489,833,5,0,0,0,0,0,833.0,0,0.01764,0
1373,0.032924722000000003,65,0,1.034372502,1250,21,0,1,0,0,0,1250.0,0,0.015309999999999999,0
1376,0.443944541,65,1,0.6625451920000001,13829,19,0,3,0,1,0,6914.5,0,0.06848,0
1391,0.030053276,58,0,937.0,0,5,0,1,0,0,0,0.0,0,0.00735,0
1394,0.006489024,67,0,0.099890231,12753,5,0,1,0,1,0,6376.5,0,0.0025800000000000003,0
1411,0.103318532,84,0,0.278180455,4000,12,0,0,0,0,0,4000.0,1,0.00571,0
1415,0.028907777000000006,41,0,0.7685208920000001,3900,6,0,2,0,1,0,1950.0,0,0.01934,0
1426,1.089825848,60,1,0.63353639,3118,7,0,1,0,0,0,3118.0,0,0.34454,0
1427,0.199666147,49,1,0.6845681309999999,10743,15,0,4,0,2,0,3581.0,0,0.10249000000000001,0
1435,0.0,53,0,1635.0,0,6,0,1,0,2,0,0.0,0,0.01012,0
1436,0.055606878,65,0,2965.0,0,5,0,1,0,1,0,0.0,0,0.007259999999999999,0
1437,0.380440179,58,0,0.321542384,6275,9,0,1,0,0,0,6275.0,0,0.01535,0
1441,0.971002416,46,0,0.498110831,1587,3,2,0,1,0,0,1587.0,0,0.45283999999999996,0
1455,0.822094232,76,0,325.0,0,6,0,0,0,0,0,0.0,0,0.05346,0
1458,0.6731895440000001,35,0,0.424098921,3800,5,0,1,0,0,0,3800.0,0,0.05716,0
1461,0.55613391,36,0,0.151914167,4100,4,0,0,0,0,0,4100.0,0,0.036410000000000005,0
1463,0.212957409,61,0,0.49910018,5000,4,0,2,0,0,0,5000.0,0,0.0062,0
1470,0.040857428,51,0,0.385322935,5000,9,0,1,0,0,0,5000.0,0,0.01466,0
1475,0.275748654,62,0,1348.0,0,7,0,1,0,0,0,0.0,0,0.00662,0
1479,0.216826619,56,1,0.854103343,3618,16,0,3,0,2,0,1206.0,0,0.07249,0
1480,0.205031355,39,0,0.6028403529999999,4083,10,0,2,0,2,0,1361.0,0,0.03267,0
1482,0.555938038,53,0,0.451816271,3330,10,0,0,0,0,0,3330.0,0,0.06417,0
1490,0.030141422,52,0,0.090074333,2286,6,0,0,0,0,0,2286.0,0,0.017269999999999997,0
1492,0.4433792070000001,42,0,1.412587413,1000,8,0,0,0,0,0,1000.0,0,0.019790000000000002,0
1493,0.198454901,51,0,0.246160694,4492,7,0,1,0,2,0,1497.333333333333,0,0.01172,0
1499,0.9999999,47,0,2174.0,0,1,0,1,0,0,0,0.0,0,0.07164,0
1501,0.128842063,37,0,0.44555542,8200,10,0,2,0,2,0,2733.333333333333,0,0.0298,0
1507,0.005971329,54,0,0.280197575,4453,13,0,1,0,2,0,1484.333333333333,0,0.01957,0
1512,0.9999999,42,0,31.0,0,0,2,0,0,0,1,0.0,0,0.50918,1
1513,0.386691448,41,3,0.276689324,2500,14,0,0,0,0,0,2500.0,0,0.14643,0
1515,0.689770077,34,0,0.308230874,5855,5,0,2,1,0,0,5855.0,0,0.24543,0
1524,0.072494634,74,0,0.523546435,3800,9,0,2,0,0,0,3800.0,0,0.00551,0
1525,0.072093448,63,1,0.673983917,4600,17,0,1,0,1,0,2300.0,0,0.03538,0
1528,0.457431884,42,1,0.700270556,8500,17,0,3,0,2,0,2833.333333333333,0,0.08556,0
1531,0.032438862,86,0,0.141974187,5500,14,0,1,0,0,0,5500.0,1,0.00525,0
